"dt","modelloop","model","n","av","sex","ind"
"09292022 231103",30,"sex",300,0.00333333333333333,0,0.01
"09292022 231206",30,"upd",300,0.00333333333333333,0,0.09
"09292022 230855",31,"av",300,0,0,0.00666666666666667
"09292022 230959",31,"ind",300,0.00333333333333333,0,0.436666666666667
"09292022 231102",31,"sex",300,0.00666666666666667,0.00333333333333333,0
"09292022 231206",31,"upd",300,0,0,0.0633333333333333
"09292022 230855",32,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 231000",32,"ind",300,0,0.00333333333333333,0.463333333333333
"09292022 231103",32,"sex",300,0,0,0.00333333333333333
"09292022 231206",32,"upd",300,0,0.00333333333333333,0.0866666666666667
"09292022 230855",33,"av",300,0,0,0
"09292022 230959",33,"ind",300,0.00666666666666667,0,0.386666666666667
"09292022 231103",33,"sex",300,0.00333333333333333,0.00333333333333333,0.00666666666666667
"09292022 231206",33,"upd",300,0.00333333333333333,0,0.0766666666666667
"09292022 230855",34,"av",300,0.00333333333333333,0.00333333333333333,0.00666666666666667
"09292022 231000",34,"ind",300,0.00333333333333333,0,0.433333333333333
"09292022 231103",34,"sex",300,0.00333333333333333,0,0.00333333333333333
"09292022 231207",34,"upd",300,0,0.00333333333333333,0.0833333333333333
"09292022 230855",35,"av",300,0.00333333333333333,0.00333333333333333,0
"09292022 231000",35,"ind",300,0.00333333333333333,0,0.456666666666667
"09292022 231103",35,"sex",300,0.00333333333333333,0,0.00333333333333333
"09292022 231206",35,"upd",300,0.00333333333333333,0,0.0833333333333333
"09292022 230856",36,"av",300,0.00666666666666667,0,0
"09292022 231000",36,"ind",300,0,0,0.376666666666667
"09292022 231103",36,"sex",300,0,0,0.00333333333333333
"09292022 231207",36,"upd",300,0,0.00333333333333333,0.0733333333333333
"09292022 230856",37,"av",300,0,0.00333333333333333,0.00666666666666667
"09292022 231000",37,"ind",300,0,0,0.433333333333333
"09292022 231103",37,"sex",300,0.00333333333333333,0,0.00333333333333333
"09292022 231207",37,"upd",300,0,0.00333333333333333,0.0566666666666667
"09292022 230855",38,"av",300,0,0,0
"09292022 230959",38,"ind",300,0,0,0.39
"09292022 231103",38,"sex",300,0,0,0.00333333333333333
"09292022 231206",38,"upd",300,0,0.00666666666666667,0.06
"09292022 230855",39,"av",300,0,0,0.00666666666666667
"09292022 231000",39,"ind",300,0.00333333333333333,0.00333333333333333,0.43
"09292022 231103",39,"sex",300,0.00333333333333333,0.00666666666666667,0.00333333333333333
"09292022 231207",39,"upd",300,0,0.00333333333333333,0.06
"09292022 230856",40,"av",300,0,0,0
"09292022 231000",40,"ind",300,0.00333333333333333,0.00333333333333333,0.486666666666667
"09292022 231104",40,"sex",300,0,0,0
"09292022 231207",40,"upd",300,0,0.00333333333333333,0.0766666666666667
"09292022 231305",41,"av",300,0.00666666666666667,0.00333333333333333,0.00666666666666667
"09292022 231407",41,"ind",300,0,0,0.453333333333333
"09292022 231510",41,"sex",300,0.00333333333333333,0,0.00333333333333333
"09292022 231613",41,"upd",300,0,0,0.0566666666666667
"09292022 231304",42,"av",300,0.00333333333333333,0.00666666666666667,0.01
"09292022 231407",42,"ind",300,0.00333333333333333,0.00333333333333333,0.456666666666667
"09292022 231509",42,"sex",300,0,0.00666666666666667,0.00333333333333333
"09292022 231611",42,"upd",300,0,0,0.0733333333333333
"09292022 231305",43,"av",300,0,0.00333333333333333,0
"09292022 231408",43,"ind",300,0,0.00333333333333333,0.433333333333333
"09292022 231511",43,"sex",300,0,0,0.00333333333333333
"09292022 231614",43,"upd",300,0.00333333333333333,0,0.06
"09292022 231305",44,"av",300,0,0,0.00666666666666667
"09292022 231408",44,"ind",300,0,0,0.396666666666667
"09292022 231511",44,"sex",300,0,0.00333333333333333,0.00333333333333333
"09292022 231613",44,"upd",300,0,0.00666666666666667,0.06
"09292022 231306",45,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 231408",45,"ind",300,0.00666666666666667,0,0.356666666666667
"09292022 231511",45,"sex",300,0.00333333333333333,0,0
"09292022 231614",45,"upd",300,0,0.00333333333333333,0.0466666666666667
"09292022 231305",46,"av",300,0,0,0
"09292022 231408",46,"ind",300,0.00333333333333333,0.00333333333333333,0.366666666666667
"09292022 231511",46,"sex",300,0,0.00333333333333333,0.00333333333333333
"09292022 231614",46,"upd",300,0,0,0.06
"09292022 231308",47,"av",300,0.00666666666666667,0,0
"09292022 231411",47,"ind",300,0,0.00666666666666667,0.436666666666667
"09292022 231514",47,"sex",300,0.00666666666666667,0.00333333333333333,0.00333333333333333
"09292022 231616",47,"upd",300,0,0.00333333333333333,0.06
"09292022 231309",48,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 231412",48,"ind",300,0,0,0.423333333333333
"09292022 231515",48,"sex",300,0,0,0
"09292022 231619",48,"upd",300,0,0,0.06
"09292022 231310",49,"av",300,0.00333333333333333,0.00333333333333333,0
"09292022 231413",49,"ind",300,0,0,0.393333333333333
"09292022 231517",49,"sex",300,0.00333333333333333,0,0
"09292022 231620",49,"upd",300,0,0.00333333333333333,0.04
"09292022 231310",50,"av",300,0,0,0.00333333333333333
"09292022 231413",50,"ind",300,0,0.00333333333333333,0.423333333333333
"09292022 231516",50,"sex",300,0,0,0
"09292022 231620",50,"upd",300,0,0,0.05
"09292022 231310",51,"av",300,0,0,0
"09292022 231413",51,"ind",300,0,0.00333333333333333,0.41
"09292022 231517",51,"sex",300,0.00666666666666667,0,0.00333333333333333
"09292022 231620",51,"upd",300,0.00666666666666667,0,0.0966666666666667
"09292022 231309",52,"av",300,0,0,0
"09292022 231413",52,"ind",300,0.00666666666666667,0.00333333333333333,0.393333333333333
"09292022 231516",52,"sex",300,0.00333333333333333,0,0.00333333333333333
